FSM,Effort
3558,2141
2906,2099
2967,2059
2576,1648
2338,1474
1924,1444
2739,1303
1754,1272
2172,1242
2418,1230
1750,1203
1232,1191
1800,1058
1944,1052
1777,1011
969,952
1070,892
1260,889
1874,877
1374,835
1512,745
1616,739
627,703
1612,696
1444,658
1228,632
592,610
758,565
1271,536
732,535
939,463
786,443
664,432
689,429
544,383
865,341
1116,333
690,285
766,285
510,265
249,171
198,138
173,113
110,101
192,78
